Gregorian Month,Bangla Month Name,Date,Day Name,Bangla Date,Hijri Date,Bangla Month Full,Hijri Month Full
June,জুন,30,মঙ্গল,১৬,14,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
July,জুলাই,1,বুধ,১৭,15,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
July,জুলাই,2,বৃহঃ,১৮,16,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
July,জুলাই,3,শুক্র,১৯,17,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
July,জুলাই,4,শনি,২০,18,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
July,জুলাই,5,রবি,২১,19,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
July,জুলাই,6,সোম,২২,20,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
July,জুলাই,7,মঙ্গল,২৩,21,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
July,জুলাই,8,বুধ,২৪,22,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
July,জুলাই,9,বৃহঃ,২৫,23,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
July,জুলাই,10,শুক্র,২৬,24,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
July,জুলাই,11,শনি,২৭,25,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
July,জুলাই,12,রবি,২৮,26,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
July,জুলাই,13,সোম,২৯,27,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
July,জুলাই,14,মঙ্গল,৩০,28,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
July,জুলাই,15,বুধ,৩১,29,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
July,জুলাই,16,বৃহঃ,১,30,শ্রাবণ ১৪৩৩,মহররম ১৪৪৮
July,জুলাই,17,শুক্র,২,1,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
July,জুলাই,18,শনি,৩,2,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
July,জুলাই,19,রবি,৪,3,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
July,জুলাই,20,সোম,৫,4,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
July,জুলাই,21,মঙ্গল,৬,5,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
July,জুলাই,22,বুধ,৭,6,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
July,জুলাই,23,বৃহঃ,৮,7,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
July,জুলাই,24,শুক্র,৯,8,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
July,জুলাই,25,শনি,১০,9,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
July,জুলাই,26,রবি,১১,10,শ্রাবণ ১৪৩৩,সফর ১৪৪৮
